"STATION","NAME","DATE","PRCP","SNOW","TAVG","TMAX","TMIN","TSUN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV01","WV03"
"USC00450872","BREMERTON, WA US","2000-01-01","0.23","0.0",,"44","38",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-01-02","0.00","0.0",,"44","31",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-01-03","0.10","0.0",,"45","32",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-01-04","1.38","0.0",,"47","35",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-01-05","0.02","0.0",,"51","30",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-01-06","0.01","0.0",,"44","34",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-01-07","0.05","0.0",,"42","34",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-01-08","0.44","0.0",,"46","42",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-01-09","0.82","0.0",,"50","33",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-01-10","0.02","0.0",,"50","33",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-01-11","0.12","0.0",,"36","33",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-01-12","0.24","1.0",,"36","32",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-01-13","0.92","0.0",,"38","32",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-01-14","0.65","0.0",,"42","37",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-01-15","0.63","0.0",,"44","35",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-01-16","0.33","0.0",,"44","35",,,,,,,,,,,,,,,,,,,,,,
